Date,Northwest Europe Marker Price,US Central Appalachian Coal Spot Price Index,Japan Coking Coal Import CIF Price,Japan Steam Coal Import CIF Price,Asian Marker Price
2017-12-31,84.5104134615,63.8252898077,96.0246869667,94.7234710026,150.0025
2016-12-31,60.0856474359,51.4477326923,71.6579603448,71.348862549,89.3983333333
2015-12-31,56.6396226415,51.5664419231,60.0958833333,67.5318794823,93.845
2014-12-31,75.3807692308,67.0841408333,76.13,84.1164274668,114.413333333
2013-12-31,81.6890384615,69.7172329412,90.065,95.4186317634,140.446666667
2012-12-31,92.4996153846,67.2813660784,100.298333333,111.889712144,191.464166667
2011-12-31,121.5225,84.754982451,126.130833333,127.268401093,229.123333333
2010-12-31,92.4996153846,67.8741225,108.465316667,110.079209219,158.945833333
2009-12-31,70.6588679245,60.7346101923,83.5866666667,87.8617044449,167.8225
2008-12-31,147.673653846,117.417644412,157.8775,104.972162581,179.026666667
2007-12-31,88.7851923077,49.7331823529,95.5860333333,61.2278258438,88.2425
2006-12-31,64.1080769231,57.8167156863,65.2175,53.5262399313,93.4625
2005-12-31,60.5392307692,70.1223552083,64.6230833333,51.341535682,89.33
2004-12-31,72.0782692308,64.9017399306,74.2158333333,42.7604587359,60.96
2003-12-31,43.5978846154,38.5227057986,39.6125958333,31.7443731971,41.57
2002-12-31,31.6496153846,33.1979844097,31.4747416667,33.194865976,42.0133333333
2001-12-31,39.0342307692,50.15465,37.689875,31.7840105179,41.3291666667
2000-12-31,35.99,29.9044804167,,27.5210936348,39.6941666667
1999-12-31,28.79,31.294297,,,42.8308333333
1998-12-31,32.0,31.0031060833,,,50.7566666667
1997-12-31,38.92,29.76,,,55.51
1996-12-31,41.25,29.8623090909,,,56.6791666667
1995-12-31,44.5,27.00635,,,54.4683333333
1994-12-31,37.18,31.7161772727,,,51.765
1993-12-31,33.68,29.8539583333,,,55.2583333333
1992-12-31,38.53,28.5345386364,,,57.8158333333
1991-12-31,42.8,29.0105318182,,,60.45
1990-12-31,43.48,31.591918,,,60.5366666667
1989-12-31,42.08,,,,58.6841666667
1988-12-31,39.94,,,,55.0641666667
1987-12-31,31.3,,,,53.4391666667
