"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2018","76.05","76.05","76.05","76.05","-","-0.39%"
"Dec 13, 2018","76.35","76.35","76.35","76.35","-","0.00%"
"Dec 12, 2018","76.35","76.35","76.35","76.35","-","1.33%"
"Dec 11, 2018","75.35","75.35","75.35","75.35","-","0.94%"
"Dec 10, 2018","74.65","74.65","74.65","74.65","-","0.00%"
"Dec 07, 2018","74.65","74.65","74.65","74.65","-","0.95%"
"Dec 06, 2018","73.95","73.95","73.95","73.95","-","0.34%"
"Dec 05, 2018","73.70","73.70","73.70","73.70","-","0.20%"
"Dec 04, 2018","73.55","73.55","73.55","73.55","-","0.00%"
"Dec 03, 2018","73.55","73.55","73.55","73.55","-","0.00%"
"Nov 30, 2018","73.55","73.55","73.55","73.55","-","0.34%"
"Nov 29, 2018","73.30","73.30","73.30","73.30","-","1.24%"
"Nov 28, 2018","72.40","72.40","72.40","72.40","-","0.00%"
"Nov 27, 2018","72.40","72.40","72.40","72.40","-","0.00%"
"Nov 26, 2018","72.40","72.40","72.40","72.40","-","-6.04%"
"Nov 23, 2018","77.05","77.05","77.05","77.05","-","0.00%"
"Nov 22, 2018","77.05","77.05","77.05","77.05","-","0.00%"
"Nov 21, 2018","77.05","77.05","77.05","77.05","-","0.00%"
"Nov 20, 2018","77.05","77.05","77.05","77.05","-","-1.28%"
"Nov 19, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Nov 16, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Nov 15, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Nov 14, 2018","78.05","78.05","78.05","78.05","-","0.64%"
"Nov 13, 2018","77.55","77.55","77.55","77.55","-","0.00%"
"Nov 12, 2018","77.55","77.55","77.55","77.55","-","0.00%"
"Nov 09, 2018","77.55","77.55","77.55","77.55","-","0.00%"
"Nov 08, 2018","77.55","77.55","77.55","77.55","-","0.00%"
"Nov 07, 2018","77.55","77.55","77.55","77.55","-","-0.64%"
"Nov 06, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Nov 05, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Nov 02, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Nov 01, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Oct 31, 2018","78.05","78.05","78.05","78.05","-","0.00%"
"Oct 30, 2018","78.05","78.05","78.05","78.05","-","0.64%"
"Oct 29, 2018","77.55","77.55","77.55","77.55","-","0.00%"
"Oct 26, 2018","77.55","77.55","77.55","77.55","-","0.13%"
"Oct 25, 2018","77.45","77.45","77.45","77.45","-","0.00%"
"Oct 24, 2018","77.45","77.45","77.45","77.45","-","0.00%"
"Oct 23, 2018","77.45","77.45","77.45","77.45","-","0.06%"
"Oct 22, 2018","77.40","77.40","77.40","77.40","-","0.00%"
"Oct 19, 2018","77.40","77.40","77.40","77.40","-","0.00%"
"Oct 18, 2018","77.40","77.40","77.40","77.40","-","0.32%"
"Oct 17, 2018","77.15","77.15","77.15","77.15","-","0.00%"
"Oct 16, 2018","77.15","77.15","77.15","77.15","-","0.00%"
"Oct 15, 2018","77.15","77.15","77.15","77.15","-","-0.39%"
"Oct 12, 2018","77.45","77.45","77.45","77.45","-","-0.45%"
"Oct 11, 2018","77.80","77.80","77.80","77.80","-","0.00%"
"Oct 10, 2018","77.80","77.80","77.80","77.80","-","0.00%"
"Oct 09, 2018","77.80","77.80","77.80","77.80","-","0.00%"
"Oct 08, 2018","77.80","77.80","77.80","77.80","-","0.00%"
"Oct 05, 2018","77.80","77.80","77.80","77.80","-","0.00%"
"Oct 04, 2018","77.80","77.80","77.80","77.80","-","0.00%"
"Oct 03, 2018","77.80","77.80","77.80","77.80","-","0.32%"
"Oct 02, 2018","77.55","77.55","77.55","77.55","-","1.31%"
"Oct 01, 2018","76.55","76.55","76.55","76.55","-","1.32%"
"Sep 28, 2018","75.55","75.55","75.55","75.55","-","0.00%"
"Sep 27, 2018","75.55","75.55","75.55","75.55","-","2.37%"
"Sep 26, 2018","73.80","73.80","73.80","73.80","-","1.17%"
"Sep 25, 2018","72.95","72.95","72.95","72.95","-","0.90%"
"Sep 24, 2018","72.30","72.30","72.30","72.30","-","0.70%"
"Sep 21, 2018","71.80","71.80","71.80","71.80","-","0.35%"
"Sep 20, 2018","71.55","71.55","71.55","71.55","-","0.00%"
"Sep 19, 2018","71.55","71.55","71.55","71.55","-","0.00%"
"Sep 18, 2018","71.55","71.55","71.55","71.55","-","0.00%"
"Sep 17, 2018","71.55","71.55","71.55","71.55","-","0.00%"
"Sep 14, 2018","71.55","71.55","71.55","71.55","-","0.00%"
"Sep 13, 2018","71.55","71.55","71.55","71.55","-","0.35%"
"Sep 12, 2018","71.30","71.30","71.30","71.30","-","0.00%"
"Sep 11, 2018","71.30","71.30","71.30","71.30","-","0.00%"
"Sep 10, 2018","71.30","71.30","71.30","71.30","-","1.06%"
"Sep 07, 2018","70.55","70.55","70.55","70.55","-","0.00%"
"Sep 06, 2018","70.55","70.55","70.55","70.55","-","0.00%"
"Sep 05, 2018","70.55","70.55","70.55","70.55","-","0.11%"
"Sep 04, 2018","70.47","70.47","70.47","70.47","-","0.71%"
"Aug 31, 2018","69.97","69.97","69.97","69.97","-","0.00%"
"Aug 30, 2018","69.97","69.97","69.97","69.97","-","2.12%"
"Aug 29, 2018","68.52","68.52","68.52","68.52","-","1.66%"
"Aug 28, 2018","67.40","67.40","67.40","67.40","-","0.00%"
"Aug 27, 2018","67.40","67.40","67.40","67.40","-","0.75%"
"Aug 24, 2018","66.90","66.90","66.90","66.90","-","0.00%"
"Aug 23, 2018","66.90","66.90","66.90","66.90","-","0.38%"
"Aug 22, 2018","66.65","66.65","66.65","66.65","-","0.15%"
"Aug 21, 2018","66.55","66.55","66.55","66.55","-","1.29%"
"Aug 20, 2018","65.70","65.70","65.70","65.70","-","0.46%"
"Aug 17, 2018","65.40","65.40","65.40","65.40","-","0.00%"
"Aug 16, 2018","65.40","65.40","65.40","65.40","-","0.00%"
"Aug 15, 2018","65.40","65.40","65.40","65.40","-","0.00%"
"Aug 14, 2018","65.40","65.40","65.40","65.40","-","0.15%"
"Aug 13, 2018","65.30","65.30","65.30","65.30","-","0.00%"
"Aug 10, 2018","65.30","65.30","65.30","65.30","-","0.00%"
"Aug 09, 2018","65.30","65.30","65.30","65.30","-","0.00%"
"Aug 08, 2018","65.30","65.30","65.30","65.30","-","0.00%"
"Aug 07, 2018","65.30","65.30","65.30","65.30","-","0.00%"
