Date,Price,,,,,
"Dec 14, 2018",76.05,,,,,
"Dec 13, 2018",76.35,,,,,
"Dec 12, 2018",76.35,,,,,
"Dec 11, 2018",75.35,,,,,
"Dec 10, 2018",74.65,,,,,
"Dec 07, 2018",74.65,,,,,
"Dec 06, 2018",73.95,,,,,
"Dec 05, 2018",73.7,,,,,
"Dec 04, 2018",73.55,,,,,
"Dec 03, 2018",73.55,,,,,
"Nov 30, 2018",73.55,,,,,
"Nov 29, 2018",73.3,,,,,
"Nov 28, 2018",72.4,,,,,
"Nov 27, 2018",72.4,,,,,
"Nov 26, 2018",72.4,,,,,
"Nov 23, 2018",77.05,,,,,
"Nov 22, 2018",77.05,,,,,
"Nov 21, 2018",77.05,,,,,
"Nov 20, 2018",77.05,,,,,
"Nov 19, 2018",78.05,,,,,
"Nov 16, 2018",78.05,,,,,
"Nov 15, 2018",78.05,,,,,
"Nov 14, 2018",78.05,,,,,
"Nov 13, 2018",77.55,,,,,
"Nov 12, 2018",77.55,,,,,
"Nov 09, 2018",77.55,,,,,
"Nov 08, 2018",77.55,,,,,
"Nov 07, 2018",77.55,,,,,
"Nov 06, 2018",78.05,,,,,
"Nov 05, 2018",78.05,,,,,
"Nov 02, 2018",78.05,,,,,
"Nov 01, 2018",78.05,,,,,
"Oct 31, 2018",78.05,,,,,
"Oct 30, 2018",78.05,,,,,
"Oct 29, 2018",77.55,,,,,
"Oct 26, 2018",77.55,,,,,
"Oct 25, 2018",77.45,,,,,
"Oct 24, 2018",77.45,,,,,
"Oct 23, 2018",77.45,,,,,
"Oct 22, 2018",77.4,,,,,
"Oct 19, 2018",77.4,,,,,
"Oct 18, 2018",77.4,,,,,
"Oct 17, 2018",77.15,,,,,
"Oct 16, 2018",77.15,,,,,
"Oct 15, 2018",77.15,,,,,
"Oct 12, 2018",77.45,,,,,
"Oct 11, 2018",77.8,,,,,
"Oct 10, 2018",77.8,,,,,
"Oct 09, 2018",77.8,,,,,
"Oct 08, 2018",77.8,,,,,
"Oct 05, 2018",77.8,,,,,
"Oct 04, 2018",77.8,,,,,
"Oct 03, 2018",77.8,,,,,
"Oct 02, 2018",77.55,,,,,
"Oct 01, 2018",76.55,,,,,
"Sep 28, 2018",75.55,,,,,
"Sep 27, 2018",75.55,,,,,
"Sep 26, 2018",73.8,,,,,
"Sep 25, 2018",72.95,,,,,
"Sep 24, 2018",72.3,,,,,
"Sep 21, 2018",71.8,,,,,
"Sep 20, 2018",71.55,,,,,
"Sep 19, 2018",71.55,,,,,
"Sep 18, 2018",71.55,,,,,
"Sep 17, 2018",71.55,,,,,
"Sep 14, 2018",71.55,,,,,
"Sep 13, 2018",71.55,,,,,
"Sep 12, 2018",71.3,,,,,
"Sep 11, 2018",71.3,,,,,
"Sep 10, 2018",71.3,,,,,
"Sep 07, 2018",70.55,,,,,
"Sep 06, 2018",70.55,,,,,
"Sep 05, 2018",70.55,,,,,
"Sep 04, 2018",70.47,,,,,
"Aug 31, 2018",69.97,,,,,
"Aug 30, 2018",69.97,,,,,
