DATE,Prices
1/01/1980,39.69662557
1/02/1980,40.25812667
1/03/1980,40.82757008
1/04/1980,41.40506817
1/05/1980,41.99073485
1/06/1980,42.58468568
1/07/1980,43.18703782
1/08/1980,43.79791012
1/09/1980,44.41742309
1/10/1980,45.04569895
1/11/1980,45.68286165
1/12/1980,46.32903689
1/01/1981,46.98435216
1/02/1981,47.64893674
1/03/1981,48.32292174
1/04/1981,49.00644012
1/05/1981,49.69962674
1/06/1981,50.40261835
1/07/1981,51.11555364
1/08/1981,51.83857326
1/09/1981,52.57181986
1/10/1981,53.31543808
1/11/1981,54.06957464
1/12/1981,54.83437832
1/01/1982,55.61
1/02/1982,55.61
1/03/1982,55.61
1/04/1982,55.61
1/05/1982,55.61
1/06/1982,55.61
1/07/1982,55.61
1/08/1982,55.61
1/09/1982,55.61
1/10/1982,55.61
1/11/1982,55.61
1/12/1982,45.5
1/01/1983,43
1/02/1983,43
1/03/1983,43
1/04/1983,43
1/05/1983,43
1/06/1983,43
1/07/1983,34.75
1/08/1983,34.75
1/09/1983,34.75
1/10/1983,34.75
1/11/1983,32
1/12/1983,29.25
1/01/1984,29.25
1/02/1984,29.25
1/03/1984,29.25
1/04/1984,29.25
1/05/1984,29.25
1/06/1984,31.75
1/07/1984,31.75
1/08/1984,31.75
1/09/1984,31.75
1/10/1984,31.75
1/11/1984,32.75
1/12/1984,33.75
1/01/1985,33.75
1/02/1985,33.75
1/03/1985,33.75
1/04/1985,33.75
1/05/1985,33.75
1/06/1985,33.75
1/07/1985,33.75
1/08/1985,33.75
1/09/1985,33.75
1/10/1985,33.75
1/11/1985,33.75
1/12/1985,33.75
1/01/1986,33.75
1/02/1986,33.75
1/03/1986,30.75
1/04/1986,30.75
1/05/1986,30.75
1/06/1986,30.75
1/07/1986,30.75
1/08/1986,30.75
1/09/1986,30.75
1/10/1986,30.75
1/11/1986,30.75
1/12/1986,29.25
1/01/1987,29.25
1/02/1987,29.25
1/03/1987,29.25
1/04/1987,24.75
1/05/1987,24.75
1/06/1987,24.75
1/07/1987,27
1/08/1987,27
1/09/1987,27
1/10/1987,27
1/11/1987,29
1/12/1987,31
1/01/1988,31
1/02/1988,31
1/03/1988,33
1/04/1988,33
1/05/1988,33
1/06/1988,36
1/07/1988,36
1/08/1988,36
1/09/1988,37
1/10/1988,37
1/11/1988,37.5
1/12/1988,38
1/01/1989,38
1/02/1989,38
1/03/1989,38
1/04/1989,38
1/05/1989,38
1/06/1989,38
1/07/1989,38
1/08/1989,38
1/09/1989,38
1/10/1989,38
1/11/1989,38
1/12/1989,38
1/01/1990,38
1/02/1990,38
1/03/1990,38
1/04/1990,38
1/05/1990,40.5
1/06/1990,40.5
1/07/1990,40.5
1/08/1990,40.5
1/09/1990,40.5
1/10/1990,40.5
1/11/1990,40.5
1/12/1990,40.5
1/01/1991,40.5
1/02/1991,40.5
1/03/1991,39.5
1/04/1991,39.5
1/05/1991,39.5
1/06/1991,39.5
1/07/1991,39.5
1/08/1991,39.5
1/09/1991,39.5
1/10/1991,39.5
1/11/1991,39.5
1/12/1991,39.5
1/01/1992,39.5
1/02/1992,39.5
1/03/1992,39.5
1/04/1992,39.5
1/05/1992,39.5
1/06/1992,39.5
1/07/1992,39.5
1/08/1992,39.5
1/09/1992,39.5
1/10/1992,37.25
1/11/1992,35
1/12/1992,35
1/01/1993,35
1/02/1993,31
1/03/1993,31
1/04/1993,31
1/05/1993,31
1/06/1993,31
1/07/1993,31
1/08/1993,31
1/09/1993,31
1/10/1993,31
1/11/1993,31
1/12/1993,31
1/01/1994,31
1/02/1994,31
1/03/1994,29.5
1/04/1994,29.5
1/05/1994,31.4
1/06/1994,33.6
1/07/1994,33.1
1/08/1994,33.1
1/09/1994,33.1
1/10/1994,33.1
1/11/1994,33.1
1/12/1994,36.1
1/01/1995,37.1
1/02/1995,37.6
1/03/1995,38.35
1/04/1995,37.1
1/05/1995,38.77
1/06/1995,40.77
1/07/1995,41.05
1/08/1995,40.88
1/09/1995,40.93
1/10/1995,40.97
1/11/1995,39.59
1/12/1995,39.35
1/01/1996,39.37
1/02/1996,39.28
1/03/1996,39.01
1/04/1996,39.33
1/05/1996,38.2
1/06/1996,38.2
1/07/1996,38.4
1/08/1996,38.35
1/09/1996,38.1
1/10/1996,37.6
1/11/1996,35.7
1/12/1996,35.35
1/01/1997,35.23
1/02/1997,34.6
1/03/1997,34.5
1/04/1997,35.4
1/05/1997,35.73
1/06/1997,34.5
1/07/1997,35
1/08/1997,36.93
1/09/1997,37.15
1/10/1997,37.15
1/11/1997,33.6
1/12/1997,31.4
1/01/1998,31.4
1/02/1998,33.44
1/03/1998,31.88
1/04/1998,31.18
1/05/1998,30.28
1/06/1998,30
1/07/1998,30
1/08/1998,26.2
1/09/1998,27.09
1/10/1998,27.1
1/11/1998,26.1
1/12/1998,26.1
1/01/1999,26.1
1/02/1999,26.1
1/03/1999,26.1
1/04/1999,26.1
1/05/1999,26.1
1/06/1999,26.1
1/07/1999,26.1
1/08/1999,26.1
1/09/1999,26.1
1/10/1999,25.6
1/11/1999,25.1
1/12/1999,25.1
1/01/2000,25.1
1/02/2000,25.1
1/03/2000,25.1
1/04/2000,25.1
1/05/2000,25.6
1/06/2000,25.6
1/07/2000,25.6
1/08/2000,25.6
1/09/2000,27.15
1/10/2000,27.15
1/11/2000,27.15
1/12/2000,30.75
1/01/2001,32.1
1/02/2001,32.1
1/03/2001,32.6
1/04/2001,33.5
1/05/2001,33.8
1/06/2001,33.9
1/07/2001,34
1/08/2001,33.8
1/09/2001,32.8
1/10/2001,32.4
1/11/2001,29.4
1/12/2001,27.35
1/01/2002,29.1
1/02/2002,29.85
1/03/2002,29.55
1/04/2002,28.84
1/05/2002,28.63
1/06/2002,26.65
1/07/2002,24.9
1/08/2002,24
1/09/2002,24.45
1/10/2002,26.25
1/11/2002,26.25
1/12/2002,26.25
1/01/2003,26.67857143
1/02/2003,26.94642857
1/03/2003,26.14285714
1/04/2003,25.125
1/05/2003,24.96428571
1/06/2003,25.82142857
1/07/2003,26.08928571
1/08/2003,27.13392857
1/09/2003,28.60714286
1/10/2003,29.46428571
1/11/2003,32.04910714
1/12/2003,36.42857143
1/01/2004,40.44642857
1/02/2004,44.73214286
1/03/2004,52.43303571
1/04/2004,57.05357143
1/05/2004,60.46875
1/06/2004,63.80357143
1/07/2004,65.75892857
1/08/2004,63.48214286
1/09/2004,59.33035714
1/10/2004,60.66964286
1/11/2004,56.59821429
1/12/2004,55.98214286
1/01/2005,56.83392857
1/02/2005,53.46160714
1/03/2005,54.5625
1/04/2005,54.91071429
1/05/2005,54.97767857
1/06/2005,54.64285714
1/07/2005,54.53571429
1/08/2005,50.69074675
1/09/2005,48.32142857
1/10/2005,44.52806122
1/11/2005,40.64123377
1/12/2005,41.68928571
1/01/2006,45.64285714
1/02/2006,50.91964286
1/03/2006,53.21273292
1/04/2006,56.4702381
1/05/2006,56.72193878
1/06/2006,54.91071429
1/07/2006,56.95408163
1/08/2006,55.63392857
1/09/2006,51.8877551
1/10/2006,47.69074675
1/11/2006,48.21428571
1/12/2006,54.51033835
1/01/2007,55.76298701
1/02/2007,56.00625
1/03/2007,56.92451299
1/04/2007,58.05169173
1/05/2007,58.45663265
1/06/2007,63.1505102
1/07/2007,72.79383117
1/08/2007,74.83441558
1/09/2007,73.55357143
1/10/2007,79.50931677
1/11/2007,93.11688312
1/12/2007,98.90977444
1/01/2008,98.4862013
1/02/2008,141.8877551
1/03/2008,137.7631579
1/04/2008,131.737013
1/05/2008,143.0758929
1/06/2008,166.9897959
1/07/2008,195.1863354
1/08/2008,173.3035714
1/09/2008,164.4983766
1/10/2008,119.3664596
1/11/2008,101.3823214
1/12/2008,82.60867347
1/01/2009,85.56173469
1/02/2009,80.82267857
1/03/2009,65.45211039
1/04/2009,66.27053571
1/05/2009,67.01503759
1/06/2009,75.81331169
1/07/2009,77.62034161
1/08/2009,77.88214286
1/09/2009,73.14935065
1/10/2009,75.70373377
1/11/2009,82.26530612
1/12/2009,86.35969388
1/01/2010,100.14375
1/02/2010,98.15892857
1/03/2010,100.0993789
1/04/2010,104.9625
1/05/2010,107.9351504
1/06/2010,104.4837662
1/07/2010,102.861526
1/08/2010,96.84693878
1/09/2010,100.1172078
1/10/2010,103.2071429
1/11/2010,112.5837662
1/12/2010,123.7857143
1/01/2011,140.9935714
1/02/2011,134.6244643
1/03/2011,135.9712733
1/04/2011,131.5255952
1/05/2011,127.9628571
1/06/2011,128.362013
1/07/2011,128.9892857
1/08/2011,127.462013
1/09/2011,130.5618506
1/10/2011,127.9127551
1/11/2011,122.7452922
1/12/2011,118.1764286
1/01/2012,123.0857143
1/02/2012,124.9668367
1/03/2012,114.150974
1/04/2012,110.3537594
1/05/2012,103.8194805
1/06/2012,92.75469925
1/07/2012,91.36412338
1/08/2012,93.45633117
1/09/2012,93.18160714
1/10/2012,86.88540373
1/11/2012,87.21964286
1/12/2012,96.07612782
1/01/2013,96.95211039
1/02/2013,100.3473214
1/03/2013,97.31678571
1/04/2013,93.23316327
1/05/2013,93.12602041
1/06/2013,89.64267857
1/07/2013,82.22236025
1/08/2013,82.22142857
1/09/2013,83.29591837
1/10/2013,85.44363354
1/11/2013,88.36326531
1/12/2013,89.44446429
1/01/2014,87.97353896
1/02/2014,83.02767857
1/03/2014,79.75306122
1/04/2014,78.52071429
1/05/2014,78.83464286
1/06/2014,77.34846939
1/07/2014,74.03804348
1/08/2014,74.24839286
1/09/2014,71.52564935
1/10/2014,68.98462733
1/11/2014,67.33071429
1/12/2014,67.1622449
1/01/2015,64.71632653
1/02/2015,70.65910714
1/03/2015,68.34496753
